Order ID,Order Date,Customer ID,Type,SKU,Category,Product Name,Unit Price,Qty,Total,Discount Code,Disc %,Payment,Source,City,State,Warehouse,Del Date,Status,Return?,Reason,Ret Rec,Refund
UT-100050,2024-10-12,CUST_10049,Returning,BOT-LGN-S,Bottoms,Leggings,999,2,1998,,0,Wallet,Mobile App,Nagpur,Maharashtra,Mumbai,2024-10-19,Delivered,No,,,Not Applicable
UT-100051,2024-10-12,CUST_10050,New,DRS-CTN-L,Dresses,Cotton Dress,1899,1,1899,,0,Debit Card,Instagram Shop,Coimbatore,Tamil Nadu,Bangalore,2024-10-22,Delivered,Yes,Quality Defect,2024-11-14,Processed
UT-100052,2024-10-13,CUST_10051,New,TOP-LCE-M,Tops,Lace Top,1699,1,1699,FLAT10,10,Credit Card,Website,Kochi,Kerala,Bangalore,2024-10-21,Delivered,No,,,Not Applicable
UT-100053,2024-10-13,CUST_10052,New,OUT-BOM-M,Outerwear,Bomber Jacket,3799,1,3799,,0,UPI,Mobile App,Vizag,Andhra Pradesh,Bangalore,2024-10-23,Delivered,Yes,Size Issue,2024-11-18,Processed
UT-100054,2024-10-13,CUST_10053,Returning,ACC-NCK-OS,Accessories,Pendant Necklace,1299,1,1299,,0,COD,Instagram Shop,Thiruvananthapuram,Kerala,Bangalore,2024-10-22,Delivered,No,,,Not Applicable
UT-100055,2024-10-13,CUST_10054,New,BOT-WID-M,Bottoms,Wide Leg Pants,2099,1,2099,DIWALI20,20,Credit Card,Website,Mysore,Karnataka,Bangalore,2024-10-24,Delivered,No,,,Not Applicable
UT-100056,2024-10-14,CUST_10055,New,DRS-TIR-S,Dresses,Tiered Dress,2799,1,2799,,0,Debit Card,Mobile App,Vadodara,Gujarat,Mumbai,2024-10-23,Delivered,Yes,Changed Mind,2024-11-16,Processed
UT-100057,2024-10-14,CUST_10056,New,TOP-PEP-M,Tops,Peplum Top,1499,1,1499,,0,Wallet,Website,Rajkot,Gujarat,Mumbai,2024-10-22,Delivered,No,,,Not Applicable
UT-100058,2024-10-14,CUST_10057,Returning,OUT-QTD-L,Outerwear,Quilted Jacket,4499,1,4499,FIRST15,15,UPI,Instagram Shop,Kanpur,Uttar Pradesh,Delhi,2024-10-25,Delivered,Yes,Wrong Item,2024-11-20,Processed
UT-100059,2024-10-14,CUST_10058,New,ACC-BRC-OS,Accessories,Charm Bracelet,899,1,899,,0,Credit Card,Mobile App,Mumbai,Maharashtra,Mumbai,2024-10-23,Delivered,No,,,Not Applicable
UT-100060,2024-10-15,CUST_10059,New,BOT-CRP-S,Bottoms,Cropped Pants,1799,1,1799,,0,COD,Website,Delhi,Delhi,Delhi,,RTO,No,,,Not Applicable
UT-100061,2024-10-15,CUST_10060,New,DRS-SLP-M,Dresses,Slip Dress,2199,1,2199,DIWALI20,20,Debit Card,Instagram Shop,Kolkata,West Bengal,Delhi,2024-10-26,Delivered,Yes,Size Issue,2024-11-22,Processed
UT-100062,2024-10-15,CUST_10061,Returning,TOP-HLT-L,Tops,Halter Top,1399,1,1399,,0,UPI,Mobile App,Chennai,Tamil Nadu,Bangalore,2024-10-24,Delivered,No,,,Not Applicable
UT-100063,2024-10-15,CUST_10062,New,OUT-FLC-M,Outerwear,Fleece Jacket,2999,1,2999,,0,Credit Card,Website,Hyderabad,Telangana,Bangalore,2024-10-27,Delivered,Yes,Quality Defect,2024-11-24,Processed
UT-100064,2024-10-16,CUST_10063,New,ACC-RNG-OS,Accessories,Cocktail Ring,699,2,1398,FLAT10,10,Wallet,Instagram Shop,Pune,Maharashtra,Mumbai,2024-10-25,Delivered,No,,,Not Applicable
UT-100065,2024-10-16,CUST_10064,New,BOT-SKN-M,Bottoms,Skinny Jeans,2199,1,2199,,0,COD,Mobile App,Ahmedabad,Gujarat,Mumbai,2024-10-28,Delivered,Yes,Size Issue,2024-11-25,Processed
UT-100066,2024-10-16,CUST_10065,Returning,DRS-KNT-S,Dresses,Knit Dress,2499,1,2499,,0,Credit Card,Website,Jaipur,Rajasthan,Delhi,2024-10-26,Delivered,No,,,Not Applicable
UT-100067,2024-10-16,CUST_10066,New,TOP-EMB-M,Tops,Embroidered Top,1899,1,1899,DIWALI20,20,UPI,Instagram Shop,Lucknow,Uttar Pradesh,Delhi,2024-10-27,Delivered,Yes,Changed Mind,2024-11-20,Processed
UT-100068,2024-10-17,CUST_10067,New,OUT-SHR-L,Outerwear,Shrug,1299,1,1299,,0,Debit Card,Mobile App,Bangalore,Karnataka,Bangalore,2024-10-28,Delivered,No,,,Not Applicable
UT-100069,2024-10-17,CUST_10068,New,ACC-CLT-OS,Accessories,Clutch Bag,1599,1,1599,,0,Credit Card,Website,Mumbai,Maharashtra,Mumbai,2024-10-27,Delivered,Yes,Damaged in Transit,2024-11-22,Processed
UT-100070,2024-10-17,CUST_10069,Returning,BOT-FLR-S,Bottoms,Flared Jeans,2099,1,2099,FIRST15,15,UPI,Instagram Shop,Delhi,Delhi,Delhi,2024-10-29,Delivered,No,,,Not Applicable
UT-100071,2024-10-17,CUST_10070,New,DRS-PIN-M,Dresses,Pinafore Dress,2299,1,2299,,0,COD,Mobile App,Chandigarh,Punjab,Delhi,,RTO,No,,,Not Applicable
UT-100072,2024-10-18,CUST_10071,New,TOP-CRW-L,Tops,Crew Neck Tee,1199,2,2398,,0,Wallet,Website,Noida,Uttar Pradesh,Delhi,2024-10-28,Delivered,No,,,Not Applicable
UT-100073,2024-10-18,CUST_10072,New,OUT-CDG-M,Outerwear,Cardigan,2599,1,2599,DIWALI20,20,Credit Card,Instagram Shop,Gurgaon,Haryana,Delhi,2024-10-30,Delivered,Yes,Size Issue,2024-11-26,Processed
UT-100074,2024-10-18,CUST_10073,Returning,ACC-SCR-OS,Accessories,Hair Scrunchie,299,5,1495,,0,UPI,Mobile App,Indore,Madhya Pradesh,Mumbai,2024-10-27,Delivered,No,,,Not Applicable
UT-100075,2024-10-18,CUST_10074,New,BOT-PPR-M,Bottoms,Paper Bag Pants,1899,1,1899,,0,Debit Card,Website,Surat,Gujarat,Mumbai,2024-10-30,Delivered,Yes,Wrong Item,2024-11-28,Processed
UT-100076,2024-10-19,CUST_10075,New,DRS-SMK-S,Dresses,Smocked Dress,2199,1,2199,,0,Credit Card,Instagram Shop,Patna,Bihar,Delhi,2024-10-31,Delivered,No,,,Not Applicable
UT-100077,2024-10-19,CUST_10076,New,TOP-BTN-M,Tops,Button-Down Shirt,1799,1,1799,FLAT10,10,COD,Mobile App,Bhopal,Madhya Pradesh,Mumbai,2024-10-29,Delivered,Yes,Quality Defect,2024-11-25,Processed
UT-100078,2024-10-19,CUST_10077,Returning,OUT-VLV-L,Outerwear,Velvet Blazer,4999,1,4999,,0,UPI,Website,Nagpur,Maharashtra,Mumbai,2024-11-01,Delivered,No,,,Not Applicable
UT-100079,2024-10-19,CUST_10078,New,ACC-TOT-OS,Accessories,Canvas Tote,999,1,999,,0,Wallet,Instagram Shop,Coimbatore,Tamil Nadu,Bangalore,2024-10-30,Delivered,Yes,Size Issue,2024-11-28,Processed
UT-100080,2024-10-20,CUST_10079,New,BOT-CRG-S,Bottoms,Cargo Shorts,1499,1,1499,DIWALI20,20,Credit Card,Mobile App,Kochi,Kerala,Bangalore,2024-10-31,Delivered,No,,,Not Applicable
UT-100081,2024-10-20,CUST_10080,New,DRS-BTR-M,Dresses,Butterfly Dress,2899,1,2899,,0,Debit Card,Website,Vizag,Andhra Pradesh,Bangalore,2024-11-02,Delivered,Yes,Changed Mind,2024-11-30,Processed
UT-100082,2024-10-20,CUST_10081,Returning,TOP-VNK-L,Tops,V-Neck Tee,1099,2,2198,,0,UPI,Instagram Shop,Thiruvananthapuram,Kerala,Bangalore,2024-10-30,Delivered,No,,,Not Applicable
UT-100083,2024-10-20,CUST_10082,New,OUT-TRN-M,Outerwear,Trench Coat,5499,1,5499,FIRST15,15,Credit Card,Mobile App,Mysore,Karnataka,Bangalore,2024-11-03,Delivered,Yes,Size Issue,2024-12-01,Processed
UT-100084,2024-10-21,CUST_10083,New,ACC-BDY-OS,Accessories,Body Chain,799,1,799,,0,COD,Website,Vadodara,Gujarat,Mumbai,,RTO,No,,,Not Applicable
UT-100085,2024-10-21,CUST_10084,New,BOT-JGR-L,Bottoms,Jogger Pants,1599,1,1599,,0,Wallet,Instagram Shop,Rajkot,Gujarat,Mumbai,2024-11-02,Delivered,No,,,Not Applicable
UT-100086,2024-10-21,CUST_10085,Returning,DRS-RFL-S,Dresses,Ruffle Dress,2699,1,2699,DIWALI20,20,Credit Card,Mobile App,Kanpur,Uttar Pradesh,Delhi,2024-11-01,Delivered,Yes,Quality Defect,2024-11-30,Processed
UT-100087,2024-10-21,CUST_10086,New,TOP-SQR-M,Tops,Square Neck Top,1499,1,1499,,0,UPI,Website,Mumbai,Maharashtra,Mumbai,2024-11-02,Delivered,No,,,Not Applicable
UT-100088,2024-10-22,CUST_10087,New,OUT-WND-L,Outerwear,Windbreaker,3299,1,3299,,0,Debit Card,Instagram Shop,Delhi,Delhi,Delhi,2024-11-04,Delivered,Yes,Wrong Item,2024-12-03,Processed
UT-100089,2024-10-22,CUST_10088,New,ACC-ANK-OS,Accessories,Anklet,499,2,998,FLAT10,10,Credit Card,Mobile App,Kolkata,West Bengal,Delhi,2024-11-01,Delivered,No,,,Not Applicable
UT-100090,2024-10-22,CUST_10089,Returning,BOT-TRS-M,Bottoms,Tailored Trousers,2399,1,2399,,0,UPI,Website,Chennai,Tamil Nadu,Bangalore,2024-11-03,Delivered,No,,,Not Applicable
UT-100091,2024-10-22,CUST_10090,New,DRS-LST-M,Dresses,Lace Trim Dress,2599,1,2599,,0,COD,Instagram Shop,Hyderabad,Telangana,Bangalore,,RTO,No,,,Not Applicable
UT-100092,2024-10-23,CUST_10091,New,TOP-TIE-S,Tops,Tie-Front Top,1399,1,1399,DIWALI20,20,Wallet,Mobile App,Pune,Maharashtra,Mumbai,2024-11-03,Delivered,Yes,Size Issue,2024-12-02,Processed
UT-100093,2024-10-23,CUST_10092,New,OUT-PUF-M,Outerwear,Puffer Jacket,4299,1,4299,,0,Credit Card,Website,Ahmedabad,Gujarat,Mumbai,2024-11-05,Delivered,No,,,Not Applicable
UT-100094,2024-10-23,CUST_10093,Returning,ACC-HDR-OS,Accessories,Hairband,399,3,1197,,0,UPI,Instagram Shop,Jaipur,Rajasthan,Delhi,2024-11-02,Delivered,No,,,Not Applicable
UT-100095,2024-10-23,CUST_10094,New,BOT-PLT-L,Bottoms,Pleated Trousers,2199,1,2199,FIRST15,15,Debit Card,Mobile App,Lucknow,Uttar Pradesh,Delhi,2024-11-05,Delivered,Yes,Damaged in Transit,2024-12-05,Processed
UT-100096,2024-10-24,CUST_10095,New,DRS-SHR-S,Dresses,Shirtdress,2399,1,2399,,0,Credit Card,Website,Bangalore,Karnataka,Bangalore,2024-11-04,Delivered,No,,,Not Applicable
UT-100097,2024-10-24,CUST_10096,New,TOP-GRF-M,Tops,Graphic Tee,1299,1,1299,,0,COD,Instagram Shop,Mumbai,Maharashtra,Mumbai,2024-11-06,Delivered,Yes,Changed Mind,2024-12-05,Processed
UT-100098,2024-10-24,CUST_10097,Returning,OUT-SHW-L,Outerwear,Shawl Wrap,2799,1,2799,DIWALI20,20,UPI,Mobile App,Delhi,Delhi,Delhi,2024-11-05,Delivered,No,,,Not Applicable
UT-100099,2024-10-24,CUST_10098,New,ACC-BLT-S,Accessories,Braided Belt,699,1,699,,0,Wallet,Website,Chandigarh,Punjab,Delhi,2024-11-04,Delivered,No,,,Not Applicable
UT-100100,2024-10-25,CUST_10099,New,BOT-CUT-M,Bottoms,Culottes,1699,1,1699,,0,Debit Card,Instagram Shop,Noida,Uttar Pradesh,Delhi,2024-11-07,Delivered,Yes,Size Issue,2024-12-06,Processed
UT-100101,2024-10-25,CUST_10100,New,DRS-MXI-L,Dresses,Maxi Dress,2799,1,2799,FLAT10,10,Credit Card,Mobile App,Gurgaon,Haryana,Delhi,2024-11-06,Delivered,No,,,Not Applicable
UT-100102,2024-10-25,CUST_10101,Returning,TOP-SLV-S,Tops,Sleeveless Top,1199,2,2398,,0,UPI,Website,Indore,Madhya Pradesh,Mumbai,2024-11-05,Delivered,Yes,Quality Defect,2024-12-04,Processed
UT-100103,2024-10-25,CUST_10102,New,OUT-CPE-M,Outerwear,Cape Coat,5999,1,5999,,0,Credit Card,Instagram Shop,Surat,Gujarat,Mumbai,2024-11-08,Delivered,No,,,Not Applicable
UT-100104,2024-10-26,CUST_10103,New,ACC-SHD-OS,Accessories,Shoulder Bag,1799,1,1799,DIWALI20,20,COD,Mobile App,Patna,Bihar,Delhi,,RTO,No,,,Not Applicable
UT-100105,2024-10-26,CUST_10104,New,BOT-STR-L,Bottoms,Straight Pants,1999,1,1999,,0,Wallet,Website,Bhopal,Madhya Pradesh,Mumbai,2024-11-07,Delivered,Yes,Wrong Item,2024-12-07,Processed
UT-100106,2024-10-26,CUST_10105,Returning,DRS-FIT-S,Dresses,Fit & Flare Dress,2499,1,2499,,0,Debit Card,Instagram Shop,Nagpur,Maharashtra,Mumbai,2024-11-08,Delivered,No,,,Not Applicable
UT-100107,2024-10-26,CUST_10106,New,TOP-CWL-M,Tops,Cowl Neck Top,1599,1,1599,FIRST15,15,UPI,Mobile App,Coimbatore,Tamil Nadu,Bangalore,2024-11-06,Delivered,Yes,Size Issue,2024-12-05,Processed
UT-100108,2024-10-27,CUST_10107,New,OUT-BLR-L,Outerwear,Blazer,3999,1,3999,,0,Credit Card,Website,Kochi,Kerala,Bangalore,2024-11-09,Delivered,No,,,Not Applicable
UT-100109,2024-10-27,CUST_10108,New,ACC-CFF-OS,Accessories,Cuff Bracelet,599,2,1198,,0,COD,Instagram Shop,Vizag,Andhra Pradesh,Bangalore,2024-11-07,Delivered,Yes,Damaged in Transit,2024-12-06,Processed
UT-100110,2024-10-27,CUST_10109,Returning,BOT-HRM-M,Bottoms,Harem Pants,1799,1,1799,DIWALI20,20,UPI,Mobile App,Thiruvananthapuram,Kerala,Bangalore,2024-11-08,Delivered,No,,,Not Applicable
UT-100111,2024-10-28,CUST_10110,New,DRS-FES-M,Dresses,Festive Kurta Set,3499,1,3499,DIWALI40,40,Credit Card,Website,Delhi,Delhi,Delhi,2024-11-02,Delivered,Yes,Size Issue,2024-11-18,Processed
UT-100112,2024-10-28,CUST_10111,New,OUT-ETH-L,Outerwear,Embroidered Jacket,5999,1,5999,DIWALI40,40,COD,Mobile App,Mumbai,Maharashtra,Mumbai,2024-11-03,Delivered,Yes,Wrong Item,2024-11-20,Processed
UT-100113,2024-10-28,CUST_10112,New,TOP-FES-S,Tops,Festive Blouse,2299,2,4598,DIWALI40,40,UPI,Instagram Shop,Jaipur,Rajasthan,Delhi,2024-11-04,Delivered,Yes,Size Issue,2024-11-22,Processed
UT-100114,2024-10-28,CUST_10113,Returning,ACC-CLT-OS,Accessories,Festive Clutch,1599,1,1599,DIWALI40,40,Credit Card,Website,Lucknow,Uttar Pradesh,Delhi,2024-11-03,Delivered,No,,,Not Applicable
UT-100115,2024-10-28,CUST_10114,New,BOT-ETH-M,Bottoms,Palazzo Pants,1899,1,1899,DIWALI40,40,COD,Mobile App,Chennai,Tamil Nadu,Bangalore,,RTO,No,,,Not Applicable
UT-100116,2024-10-29,CUST_10115,New,DRS-ANK-S,Dresses,Anarkali Dress,4299,1,4299,DIWALI40,40,Debit Card,Website,Hyderabad,Telangana,Bangalore,2024-11-05,Delivered,Yes,Quality Defect,2024-11-25,Processed
UT-100117,2024-10-29,CUST_10116,New,TOP-ETH-M,Tops,Embroidered Kurti,2599,1,2599,DIWALI40,40,UPI,Instagram Shop,Pune,Maharashtra,Mumbai,2024-11-06,Delivered,Yes,Changed Mind,2024-11-28,Pending
UT-100118,2024-10-29,CUST_10117,New,OUT-SHW-L,Outerwear,Pashmina Shawl,3999,1,3999,DIWALI40,40,Credit Card,Mobile App,Amritsar,Punjab,Delhi,2024-11-07,Delivered,Yes,Size Issue,2024-12-01,Processed
UT-100119,2024-10-29,CUST_10118,Returning,DRS-LHG-M,Dresses,Lehenga Set,8999,1,8999,DIWALI40,40,Credit Card,Website,Ahmedabad,Gujarat,Mumbai,2024-11-06,Delivered,Yes,Size Issue,2024-12-02,Processed
UT-100120,2024-10-29,CUST_10119,New,ACC-STL-OS,Accessories,Statement Necklace,1299,2,2598,DIWALI40,40,COD,Instagram Shop,Kolkata,West Bengal,Delhi,2024-11-08,Delivered,Yes,Damaged in Transit,2024-11-30,Processed
